Date,MaxTempF,MeanTempF,MinTempF
1964-01-25,48,45,41
1964-01-26,45,40,35
1964-01-27,44,39,34
1964-01-28,39,32,23
1964-01-29,33,26,18
1964-01-30,41,36,30
1964-01-31,36,30,23
1965-01-01,34,30,27
1965-01-02,30,28,26
1965-01-03,32,26,21
1965-01-04,39,34,28
1965-01-05,39,34,28
1965-01-06,46,41,36
1965-01-07,41,36,30
1965-01-08,46,44,41
1965-01-09,57,50,41
1965-01-10,39,34,28
1965-01-11,33,28,23
1965-01-12,35,32,28
1965-01-13,37,31,25
1965-01-14,36,24,10
1965-01-15,17,11,5
1965-01-16,17,14,10
1965-01-17,16,12,7
1965-01-18,24,17,10
1965-01-19,24,20,16
1965-01-20,34,28,23
1965-01-21,33,30,26
1965-01-22,45,36,26
1965-01-23,44,34,24
1965-01-24,34,29,24
1965-01-25,37,34,32
1965-01-26,41,34,28
1965-01-27,41,34,28
1965-01-28,36,28,19
1965-01-29,28,22,15
1965-01-30,19,14,10
1965-01-31,30,22,15
1966-01-01,61,54,48
1966-01-02,52,44,36
1966-01-03,44,40,37
1966-01-04,43,38,33
1966-01-05,46,39,32
1966-01-06,45,43,41
1966-01-07,46,42,37
1966-01-08,43,30,16
1966-01-09,30,23,16
1966-01-10,45,36,28
1966-01-11,37,30,21
1966-01-12,26,20,15
1966-01-13,32,21,12
1966-01-14,39,34,30
1966-01-15,39,34,27
1966-01-16,25,18,10
1966-01-17,37,28,19
1966-01-18,37,34,30
1966-01-19,36,32,28
1966-01-20,45,38,30
1966-01-21,39,36,34
1966-01-22,37,32,27
1966-01-23,37,34,32
1966-01-24,37,32,28
1966-01-25,32,26,21
1966-01-26,27,23,19
1966-01-27,33,26,19
1966-01-28,17,12,7
1966-01-29,23,16,10
1966-01-30,37,28,19
1966-01-31,23,18,12
1967-01-01,37,34,30
1967-01-02,45,40,35
1967-01-03,45,38,30
1967-01-04,41,40,39
1967-01-05,37,36,33
1967-01-06,35,32,30
1967-01-07,45,36,28
1967-01-08,46,45,42
1967-01-09,42,38,33
1967-01-10,37,34,30
1967-01-11,37,32,28
1967-01-12,34,30,28
1967-01-13,43,36,30
1967-01-14,42,40,39
1967-01-15,44,40,37
1967-01-16,37,34,27
1967-01-17,43,36,28
1967-01-18,37,28,16
1967-01-19,24,17,10
1967-01-20,36,28,21
1967-01-21,42,36,30
1967-01-22,53,44,35
1967-01-23,54,46,39
1967-01-24,60,52,43
1967-01-25,52,48,39
1967-01-26,59,49,39
1967-01-27,43,41,39
1967-01-28,39,36,30
1967-01-29,28,26,24
1967-01-30,34,29,24
1967-01-31,34,26,19
1968-01-01,30,21,10
1968-01-02,21,12,6
1968-01-03,34,28,21
1968-01-04,34,28,19
1968-01-05,19,16,12
1968-01-06,28,21,14
1968-01-07,27,18,9
1968-01-08,12,8,1
1968-01-09,12,6,1
1968-01-10,15,9,3
1968-01-11,15,10,5
1968-01-12,23,13,3
1968-01-13,30,20,10
1968-01-14,44,36,28
1968-01-15,33,30,27
1968-01-16,25,18,12
1968-01-17,30,23,16
1968-01-18,39,30,21
1968-01-19,46,37,28
1968-01-20,45,38,30
1968-01-21,48,40,33
1968-01-22,37,34,30
1968-01-23,39,36,33
1968-01-24,32,26,21
1968-01-25,24,22,19
1968-01-26,37,26,16
1968-01-27,46,36,25
1968-01-28,41,37,33
1968-01-29,37,36,36
1968-01-30,44,40,35
1968-01-31,45,38,32
1969-01-01,37,24,12
1969-01-02,27,20,14
1969-01-03,32,26,19
1969-01-04,30,26,21
1969-01-05,28,23,18
1969-01-06,41,30,19
1969-01-07,34,30,26
1969-01-08,30,28,25
1969-01-09,35,32,28
1969-01-10,33,27,21
1969-01-11,30,24,19
1969-01-12,33,27,21
1969-01-13,34,30,25
1969-01-14,41,36,30
1969-01-15,37,32,27
1969-01-16,35,28,21
1969-01-17,37,34,30
1969-01-18,45,40,36
1969-01-19,46,42,35
1969-01-20,39,34,30
1969-01-21,42,38,33
1969-01-22,45,39,33
1969-01-23,46,42,39
1969-01-24,46,44,41
1969-01-25,43,39,34
1969-01-26,33,27,21
1969-01-27,21,18,15
1969-01-28,26,18,10
1969-01-29,37,32,26
1969-01-30,39,38,36
1969-01-31,46,42,37
1970-01-01,27,23,19
1970-01-02,28,22,17
1970-01-03,34,28,23
1970-01-04,30,24,17
1970-01-05,30,22,15
1970-01-06,35,32,26
1970-01-07,25,23,19
1970-01-08,21,13,3
1970-01-09,12,8,3
1970-01-10,28,16,5
1970-01-11,27,22,16
1970-01-12,28,24,21
1970-01-13,32,24,17
1970-01-14,23,20,14
1970-01-15,28,19,10
1970-01-16,35,25,15
1970-01-17,45,38,30
1970-01-18,39,32,21
1970-01-19,25,20,14
1970-01-20,23,18,14
1970-01-21,19,14,7
1970-01-22,19,12,6
1970-01-23,28,18,7
1970-01-24,27,22,16
1970-01-25,35,28,21
1970-01-26,45,38,32
1970-01-27,35,31,27
1970-01-28,39,34,30
1970-01-29,48,42,37
1970-01-30,45,34,23
1970-01-31,35,27,19
1971-01-01,30,28,25
1971-01-02,33,29,25
1971-01-03,37,32,28
1971-01-04,44,34,25
1971-01-05,46,42,36
1971-01-06,34,32,28
1971-01-07,27,24,21
1971-01-08,27,23,19
1971-01-09,27,23,19
1971-01-10,36,32,27
1971-01-11,44,37,30
1971-01-12,39,34,25
1971-01-13,25,21,17
1971-01-14,35,28,21
1971-01-15,36,33,28
1971-01-16,25,20,14
1971-01-17,23,20,16
1971-01-18,26,22,17
1971-01-19,16,12,7
1971-01-20,24,17,10
1971-01-21,34,26,19
1971-01-22,41,37,33
1971-01-23,45,40,33
1971-01-24,36,32,28
1971-01-25,37,35,33
1971-01-26,44,37,27
1971-01-27,23,20,12
1971-01-28,21,16,10
1971-01-29,30,23,16
1971-01-30,43,38,30
1971-01-31,28,22,14
1972-01-01,36,28,21
1972-01-02,53,44,36
1972-01-03,46,40,35
1972-01-04,48,42,37
1972-01-05,44,36,25
1972-01-06,28,22,17
1972-01-07,39,34,28
1972-01-08,37,34,28
1972-01-09,48,37,26
1972-01-10,51,48,46
1972-01-11,55,52,48
1972-01-12,50,47,44
1972-01-13,52,48,45
1972-01-14,54,44,32
1972-01-15,35,31,18
1972-01-16,16,12,9
1972-01-17,35,24,14
1972-01-18,43,36,30
1972-01-19,57,46,35
1972-01-20,44,40,37
1972-01-21,44,42,36
1972-01-22,45,41,37
1972-01-23,48,44,39
1972-01-24,52,48,43
1972-01-25,52,44,30
1972-01-26,32,28,24
1972-01-27,30,26,21
1972-01-28,32,28,25
1972-01-29,30,27,24
1972-01-30,37,34,32
1972-01-31,30,26,23
1973-01-01,60,53,46
1973-01-02,46,41,35
1973-01-03,39,35,33
1973-01-04,53,46,39
1973-01-05,45,42,37
1973-01-06,37,28,19
1973-01-07,25,22,19
1973-01-08,21,18,15
1973-01-09,28,22,15
1973-01-10,32,28,24
1973-01-11,35,30,26
1973-01-12,33,28,23
1973-01-13,35,30,24
1973-01-14,39,32,26
1973-01-15,46,40,34
1973-01-16,48,44,39
1973-01-17,55,46,37
1973-01-18,55,46,37
1973-01-19,54,46,39
1973-01-20,51,42,32
1973-01-21,44,36,27
1973-01-22,54,44,33
1973-01-23,51,48,45
1973-01-24,45,41,37
1973-01-25,44,38,32
1973-01-26,48,42,35
1973-01-27,46,41,36
1973-01-28,44,42,39
1973-01-29,39,30,21
1973-01-30,30,24,17
1973-01-31,30,24,18
1974-01-01,42,38,33
1974-01-02,32,28,25
1974-01-03,30,29,28
1974-01-04,30,28,26
1974-01-05,27,24,21
1974-01-06,30,28,27
1974-01-07,36,32,28
