Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,5.525000,5.647500,5.477500,5.550000,5.352667,24845600
2015-04-28,5.540000,5.597500,5.487500,5.577500,5.379187,23448400
2015-04-29,5.537500,5.592500,5.512500,5.535000,5.338200,19515600
2015-04-30,5.507500,5.577500,5.495000,5.550000,5.352667,21884400
2015-05-01,5.595000,5.705000,5.570000,5.687500,5.485277,25696800
2015-05-04,5.682500,5.720000,5.635000,5.652500,5.451522,20072000
2015-05-05,5.632500,5.640000,5.482500,5.507500,5.311679,29292800
2015-05-06,5.537500,5.590000,5.452500,5.525000,5.328556,31648400
2015-05-07,5.502500,5.640000,5.485000,5.622500,5.422589,53456400
2015-05-08,5.252500,5.460000,5.122500,5.207500,5.022344,114655200
2015-05-11,5.135000,5.210000,5.095000,5.157500,4.974123,54414400
2015-05-12,5.120000,5.250000,5.117500,5.207500,5.022344,38880000
2015-05-13,5.245000,5.285000,5.187500,5.237500,5.051277,30852400
2015-05-14,5.252500,5.350000,5.240000,5.322500,5.133256,29305200
2015-05-15,5.345000,5.370000,5.292500,5.325000,5.135666,21582400
2015-05-18,5.312500,5.350000,5.287500,5.317500,5.128433,32497200
2015-05-19,5.300000,5.317500,5.250000,5.260000,5.096459,25380800
2015-05-20,5.262500,5.325000,5.255000,5.260000,5.096459,19682400
2015-05-21,5.262500,5.285000,5.217500,5.222500,5.060124,23969200
2015-05-22,5.235000,5.255000,5.202500,5.215000,5.052857,21259200
2015-05-26,5.190000,5.225000,5.142500,5.182500,5.021368,25973200
2015-05-27,5.217500,5.485000,5.200000,5.460000,5.290242,43233200
2015-05-28,5.460000,5.552500,5.450000,5.535000,5.362909,32765600
2015-05-29,5.535000,5.570000,5.525000,5.532500,5.360486,33516800
2015-06-01,5.567500,5.650000,5.532500,5.595000,5.421044,37266000
2015-06-02,5.560000,5.590000,5.480000,5.485000,5.314464,22430400
2015-06-03,5.500000,5.542500,5.415000,5.425000,5.256330,25078800
2015-06-04,5.392500,5.540000,5.392500,5.522500,5.350798,32371200
2015-06-05,5.505000,5.590000,5.447500,5.565000,5.391977,31332000
2015-06-08,5.547500,5.585000,5.375000,5.437500,5.268441,34281200
2015-06-09,5.442500,5.505000,5.432500,5.465000,5.295086,25688800
2015-06-10,5.400000,5.435000,5.337500,5.367500,5.200616,52946000
2015-06-11,5.367500,5.462500,5.367500,5.425000,5.256330,28305200
2015-06-12,5.390000,5.422500,5.265000,5.277500,5.113415,32372800
2015-06-15,5.250000,5.292500,5.210000,5.267500,5.103726,30654800
2015-06-16,5.257500,5.340000,5.205000,5.332500,5.166706,25689200
2015-06-17,5.330000,5.425000,5.317500,5.395000,5.227262,23354400
2015-06-18,5.440000,5.520000,5.425000,5.485000,5.314464,29940400
2015-06-19,5.485000,5.530000,5.417500,5.467500,5.297508,35565600
2015-06-22,5.477500,5.507500,5.362500,5.445000,5.275707,51423600
2015-06-23,5.455000,5.497500,5.262500,5.305000,5.140060,41406400
2015-06-24,5.297500,5.325000,5.227500,5.252500,5.089192,25336800
2015-06-25,5.252500,5.325000,5.252500,5.292500,5.127948,35046000
2015-06-26,5.250000,5.255000,5.162500,5.185000,5.023791,42129600
2015-06-29,5.125000,5.177500,5.022500,5.030000,4.873611,39172400
2015-06-30,5.060000,5.082500,4.992500,5.027500,4.871189,31591600
2015-07-01,5.152500,5.225000,5.055000,5.100000,4.941434,30289200
2015-07-02,5.097500,5.137500,5.072500,5.105000,4.946278,14576400
2015-07-06,5.062500,5.132500,5.005000,5.042500,4.885721,21477600
2015-07-07,5.012500,5.032500,4.790000,4.947500,4.793675,59425200
2015-07-08,4.920000,4.950000,4.872500,4.912500,4.759763,33249200
2015-07-09,4.990000,5.012500,4.822500,4.852500,4.701629,35758800
2015-07-10,4.915000,4.982500,4.902500,4.937500,4.783986,21670800
2015-07-13,4.987500,4.997500,4.937500,4.970000,4.815475,21247200
2015-07-14,4.977500,4.982500,4.907500,4.972500,4.817899,24921600
2015-07-15,4.960000,4.992500,4.892500,4.937500,4.783986,26573200
2015-07-16,4.967500,5.047500,4.950000,5.047500,4.890565,28284800
2015-07-17,5.030000,5.035000,4.952500,5.017500,4.861498,22037200
2015-07-20,5.017500,5.037500,4.912500,4.925000,4.771874,18841200
2015-07-21,4.915000,5.017500,4.915000,4.947500,4.793675,14972000
2015-07-22,4.912500,4.912500,4.792500,4.852500,4.701629,35647200
2015-07-23,4.862500,4.985000,4.852500,4.912500,4.759763,16991600
2015-07-24,4.947500,4.952500,4.835000,4.855000,4.704052,18884400
2015-07-27,4.812500,4.882500,4.772500,4.827500,4.677407,19242000
2015-07-28,4.840000,4.965000,4.790000,4.932500,4.779141,19830800
2015-07-29,4.922500,5.032500,4.902500,4.992500,4.837277,23268000
2015-07-30,4.980000,5.055000,4.980000,5.005000,4.849388,19018000
2015-07-31,5.025000,5.027500,4.957500,4.987500,4.832433,21834000
2015-08-03,5.027500,5.077500,4.962500,5.072500,4.914788,39713200
2015-08-04,5.055000,5.107500,5.035000,5.092500,4.934166,26010000
2015-08-05,5.217500,5.222500,5.135000,5.145000,4.985036,23462800
2015-08-06,5.132500,5.170000,5.027500,5.112500,4.953546,65567600
2015-08-07,5.615000,5.842500,5.470000,5.745000,5.566381,140524800
2015-08-10,5.705000,5.987500,5.670000,5.945000,5.760162,66230400
2015-08-11,5.857500,5.972500,5.857500,5.915000,5.731094,43500800
2015-08-12,5.820000,5.972500,5.820000,5.930000,5.745627,38404800
